playerID,schoolID,yearID,name_full,city,state,country
aardsda01,pennst,2001,Pennsylvania State University,State College,PA,USA
aardsda01,rice,2002,Rice University,Houston,TX,USA
aardsda01,rice,2003,Rice University,Houston,TX,USA
abadan01,gamiddl,1992,Middle Georgia College,Cochran,GA,USA
abadan01,gamiddl,1993,Middle Georgia College,Cochran,GA,USA
abbeybe01,vermont,1889,University of Vermont,Burlington,VT,USA
abbeybe01,vermont,1890,University of Vermont,Burlington,VT,USA
abbeybe01,vermont,1891,University of Vermont,Burlington,VT,USA
abbeybe01,vermont,1892,University of Vermont,Burlington,VT,USA
abbotje01,kentucky,1991,University of Kentucky,Lexington,KY,USA
abbotje01,kentucky,1992,University of Kentucky,Lexington,KY,USA
abbotje01,kentucky,1994,University of Kentucky,Lexington,KY,USA
abbotji01,michigan,1986,University of Michigan,Ann Arbor,MI,USA
abbotji01,michigan,1987,University of Michigan,Ann Arbor,MI,USA
abbotji01,michigan,1988,University of Michigan,Ann Arbor,MI,USA
abbotky01,ucsd,1987,"University of California, San Diego",La Jolla,CA,USA
abbotky01,ucsd,1988,"University of California, San Diego",La Jolla,CA,USA
abbotky01,longbeach,1989,California State University Long Beach,Long Beach,CA,USA
abercre01,flgateway,2000,Florida Gateway College,Lake City,FL,USA
abernte01,elon,1939,Elon University,Elon,NC,USA
abernte01,elon,1940,Elon University,Elon,NC,USA
abernte01,elon,1941,Elon University,Elon,NC,USA
ablesha01,swesterntx,1903,Southwestern University,Georgetown,TX,USA
ablesha01,swesterntx,1904,Southwestern University,Georgetown,TX,USA
accarje01,illinoisst,2001,Illinois State University,Normal,IL,USA
accarje01,illinoisst,2002,Illinois State University,Normal,IL,USA
accarje01,illinoisst,2003,Illinois State University,Normal,IL,USA
aceveju01,ilparkl,1992,Parkland College,Champaign,IL,USA
ackerji01,texas,1978,University of Texas at Austin,Austin,TX,USA
ackerji01,texas,1979,University of Texas at Austin,Austin,TX,USA
ackerji01,texas,1980,University of Texas at Austin,Austin,TX,USA
ackledu01,unc,2007,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
ackledu01,unc,2008,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
ackledu01,unc,2009,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
acrema01,nmstate,1989,New Mexico State University,Las Cruces,NM,USA
acrema01,nmstate,1990,New Mexico State University,Las Cruces,NM,USA
acrema01,nmstate,1991,New Mexico State University,Las Cruces,NM,USA
adairje01,okstate,1957,Oklahoma State University,Stillwater,OK,USA
adairje01,okstate,1958,Oklahoma State University,Stillwater,OK,USA
adamsbo01,lehigh,1922,Lehigh University,Bethlehem,PA,USA
adamsbo01,lehigh,1923,Lehigh University,Bethlehem,PA,USA
adamsbo01,lehigh,1924,Lehigh University,Bethlehem,PA,USA
adamsbo01,lehigh,1925,Lehigh University,Bethlehem,PA,USA
adamsbo04,ucla,1971,"University of California, Los Angeles",Los Angeles,CA,USA
adamsbo04,ucla,1972,"University of California, Los Angeles",Los Angeles,CA,USA
adamsbo04,ucla,1973,"University of California, Los Angeles",Los Angeles,CA,USA
adamsda02,virginia,2006,University of Virginia,Charlottesville,VA,USA
adamsda02,virginia,2007,University of Virginia,Charlottesville,VA,USA
adamsda02,virginia,2008,University of Virginia,Charlottesville,VA,USA
adamsgl01,sprngfldma,1967,Springfield College,Springfield,MA,USA
adamsjo02,cacerri,1990,Cerritos College,Norwalk,CA,USA
adamsma01,sliprock,2007,Slippery Rock University of Pennsylvania,Slippery Rock,PA,USA
adamsma01,sliprock,2008,Slippery Rock University of Pennsylvania,Slippery Rock,PA,USA
adamsma01,sliprock,2009,Slippery Rock University of Pennsylvania,Slippery Rock,PA,USA
adamsmi01,usc,1967,University of Southern California,Los Angeles,CA,USA
adamsmi03,tamukvill,1999,Texas A&M University-Kingsville,Kingsville,TX,USA
adamsmi03,tamukvill,2000,Texas A&M University-Kingsville,Kingsville,TX,USA
adamsmi03,tamukvill,2001,Texas A&M University-Kingsville,Kingsville,TX,USA
adamsru01,unc,2000,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
adamsru01,unc,2001,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
adamsru01,unc,2002,University of North Carolina at Chapel Hill,Chapel Hill,NC,USA
adamssp02,utah,1920,University of Utah,Salt Lake City,UT,USA
adamswi02,stanford,1991,Stanford University,Palo Alto,CA,USA
adamswi02,stanford,1992,Stanford University,Palo Alto,CA,USA
adamswi02,stanford,1993,Stanford University,Palo Alto,CA,USA
adcocjo01,lsu,1947,Louisiana State University,Baton Rouge,LA,USA
adducji01,sillinois,1978,Southern Illinois University Carbondale,Carbondale,IL,USA
adducji01,sillinois,1979,Southern Illinois University Carbondale,Carbondale,IL,USA
adducji01,sillinois,1980,Southern Illinois University Carbondale,Carbondale,IL,USA
aderhmo01,wake,1935,Wake Forest University,Winston-Salem,NC,USA
aderhmo01,wake,1936,Wake Forest University,Winston-Salem,NC,USA
aderhmo01,wake,1937,Wake Forest University,Winston-Salem,NC,USA
aderhmo01,wake,1938,Wake Forest University,Winston-Salem,NC,USA
adkindo01,beloitwi,1898,Beloit College,Beloit,WI,USA
adkindo01,beloitwi,1899,Beloit College,Beloit,WI,USA
adkindo01,beloitwi,1900,Beloit College,Beloit,WI,USA
adkindo01,beloitwi,1901,Beloit College,Beloit,WI,USA
adkinhe01,chicago,1893,University of Chicago,Chicago,IL,USA
adkinhe01,chicago,1894,University of Chicago,Chicago,IL,USA
adkinhe01,chicago,1895,University of Chicago,Chicago,IL,USA
adkinhe01,chicago,1896,University of Chicago,Chicago,IL,USA
adkinjo01,okstate,1996,Oklahoma State University,Stillwater,OK,USA
adkinjo01,okstate,1997,Oklahoma State University,Stillwater,OK,USA
adkinjo01,okstate,1998,Oklahoma State University,Stillwater,OK,USA
adkinst01,upenn,1983,University of Pennsylvania,Philadelphia,PA,USA
adkinst01,upenn,1984,University of Pennsylvania,Philadelphia,PA,USA
adkinst01,upenn,1985,University of Pennsylvania,Philadelphia,PA,USA
adkinst01,upenn,1986,University of Pennsylvania,Philadelphia,PA,USA
afenitr01,capalom,1982,Palomar College,San Marcos,CA,USA
afenitr01,capalom,1983,Palomar College,San Marcos,CA,USA
agbaybe01,hawaiipac,1991,Hawaii Pacific University,Honolulu,HI,USA
agbaybe01,hawaiipac,1992,Hawaii Pacific University,Honolulu,HI,USA
agbaybe01,hawaiipac,1993,Hawaii Pacific University,Honolulu,HI,USA
ageeto01,grambling,1961,Grambling State University,Grambling,LA,USA
